----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
CREDENTIAL ACCESS
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
T1548.002 Bypass User Account Control	                            Atomic Test #3: Bypass UAC using Fodhelper [windows]                                                                                                            Attack Commands: Run with command_prompt!
T1548.002 Bypass User Account Control	                            Atomic Test #4: Bypass UAC using Fodhelper - PowerShell [windows]                                                                                               Attack Commands: Run with powershell!
T1548.002 Bypass User Account Control	                            Atomic Test #5: Bypass UAC using ComputerDefaults (PowerShell) [windows]                                                                                        Attack Commands: Run with powershell!
T1548.002 Bypass User Account Control	                            Atomic Test #6: Bypass UAC by Mocking Trusted Directories [windows]                                                                                             Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1548.002 Bypass User Account Control	                            Atomic Test #7: Bypass UAC using sdclt DelegateExecute [windows]                                                                                                Attack Commands: Run with powershell!
T1548.002 Bypass User Account Control	                            Atomic Test #8: Disable UAC using reg.exe [windows]                                                                                                             Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1548.002 Bypass User Account Control	                            Atomic Test #9: Bypass UAC using SilentCleanup task [windows]                                                                                                   Attack Commands: Run with command_prompt!
T1548.002 Bypass User Account Control	                            Atomic Test #10: UACME Bypass Method 23 [windows]                                                                                                               Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!         
T1548.002 Bypass User Account Control	                            Atomic Test #11: UACME Bypass Method 31 [windows]                                                                                                               Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!
T1548.002 Bypass User Account Control	                            Atomic Test #12: UACME Bypass Method 33 [windows]                                                                                                               Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!
T1548.002 Bypass User Account Control	                            Atomic Test #13: UACME Bypass Method 34 [windows]                                                                                                               Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!
T1548.002 Bypass User Account Control	                            Atomic Test #14: UACME Bypass Method 39 [windows]                                                                                                               Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!
T1548.002 Bypass User Account Control	                            Atomic Test #15: UACME Bypass Method 56 [windows]                                                                                                               Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!
T1548.002 Bypass User Account Control	                            Atomic Test #16: UACME Bypass Method 59 [windows]                                                                                                               Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!
T1548.002 Bypass User Account Control	                            Atomic Test #17: UACME Bypass Method 61 [windows]                                                                                                               Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!
T1574.012 COR_PROFILER	                                            Atomic Test #1: User scope COR_PROFILER [windows]                                                                                                               Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!
T1574.012 COR_PROFILER	                                            Atomic Test #2: System Scope COR_PROFILER [windows]                                                                                                             Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)                   Dependencies: Run with powershell!
T1574.012 COR_PROFILER	                                            Atomic Test #3: Registry-free process scope COR_PROFILER [windows]                                                                                              Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!
T1546.001 Change Default File Association	                        Atomic Test #1 - Change Default File Association                                                                                                                Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1134.002 Create Process with Token	                                Atomic Test #1: Access Token Manipulation [windows]                                                                                                             Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)
T1574.001 DLL Search Order Hijacking	                            Atomic Test #1: DLL Search Order Hijacking - amsi.dll [windows]                                                                                                 Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1574.001 DLL Side-Loading	                                        Atomic Test #4: DLL Side-Loading using the Notepad++ GUP.exe binary [windows]                                                                                   Attack Commands: Run with command_prompt!                                                       Dependencies: Run with powershell!
T1078.001 Default Accounts	                                        Atomic Test #1: Enable Guest account with RDP capability and admin privileges [windows]                                                                         Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1078.001 Default Accounts	                                        Atomic Test #2: Activate Guest Account [windows]                                                                                                                Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1055.001 Dynamic-link Library Injection	                        Atomic Test #1: Process Injection via mavinject.exe [windows]                                                                                                   Attack Commands: Run with powershell! Elevation Required (e.g. root or admin)                   Dependencies: Run with powershell!
T1546.012 Image File Execution Options Injection	                Atomic Test #1 - IFEO Add Debugger                                                                                                                              Attack Commands: Run with command_prompt!  Elevation Required (e.g. root or admin)
T1546.012 Image File Execution Options Injection	                Atomic Test #2 - IFEO Global Flags                                                                                                                              Attack Commands: Run with command_prompt!  Elevation Required (e.g. root or admin)
T1078.003 Local Accounts	                                        Atomic Test #1: Create local account with admin privileges [windows]                                                                                            Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)
T1037.001 Logon Script	                                            Atomic Test #1: Logon Scripts [windows]                                                                                                                         Attack Commands: Run with command_prompt
T1546.007 Netsh Helper DLL	                                        Atomic Test #1: Netsh Helper DLL Registration [windows]                                                                                                         Attack Commands: Run with command_prompt! Elevation Required (e.g. root or admin)               Dependencies: Run with powershell!
T1134.004 Parent PID Spoofing	                                    Atomic Test #1: Parent PID Spoofing using PowerShell [windows]                                                                                                  Attack Commands: Run with powershell!                                                           Dependencies: Run with powershell!
